"","zcta","zipp","City","County","Operational.Costs","Admin.Costs","Food.Costs","SFSP.Kitchens","Meals.Served","Media","Activity","Site.Density","Benefits","Poverty","Grocery","Convenience.Store","Public.Transport","Total.Meals","Total.ADP","Findings","Year.Round"
"1365",77515,77515,"Angleton","Brazoria","Med","Med","Med","Yes","Lunch Plus","High","High","High","No","Low","Yes","High","No",NA,0,2,NA
"1368",77518,77518,"Bacliff","Galveston","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,1
"1370",77520,77520,"Baytown","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,11
"1371",77521,77521,"Baytown","Harris","High","Med","High","Yes","Lunch Plus","Low","High","High","No","Med","Yes","High","No",NA,134.625,2,13
"1373",77530,77530,"Channelview","Harris","Med","Med","Med","No","Lunch Plus","High","High","Low","No","Med","No","High","No",NA,0,1,NA
"1374",77531,77531,"Clute","Brazoria","Med","Med","Med","No","Lunch Plus","High","None","Low","Yes","Med","No","High","No","Low",0,NA,1
"1375",77532,77532,"Crosby","Harris","Med","Low","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","High",0,1,3
"1376",77533,77533,"Daisetta","Liberty","Low","Low","Med","No","Lunch Plus","High","None","Low","No","High","No","Low",NA,"Low",0,NA,NA
"1378",77535,77535,"Dayton","Liberty","Med","Low","Med","No","Lunch Plus","High","High","Low","No","Low","No","High",NA,"High",0,1,NA
"1381",77539,77539,"Dickinson","Galveston","High","High","Med","No","Lunch Plus","High","High","Low","No","Med","Yes","High","No","Low",0,NA,1
"1383",77541,77541,"Freeport","Brazoria","Med","Med","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,NA
"1384",77545,77545,"Fresno","Fort Bend","Med","Med","Low","No","Lunch Plus","Low","None","Low","No","Low","No","High","No","Low",0,2,NA
"1387",77547,77547,"Galena Park","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","High","No","Low",0,NA,1
"1390",77550,77550,"Galveston","Galveston","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",78.9954954954955,NA,13
"1392",77551,77551,"Galveston","Galveston","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,6
"1393",77554,77554,"Galveston","Galveston","High","High","Med","No","No Meals","Low","None","None","No","High","No","Low","No","Low",0,NA,NA
"1396",77562,77562,"Highlands","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,4
"1397",77563,77563,"Hitchcock","Galveston","High","High","Med","No","Lunch Plus","Low","None","Low","No","High","No","High","No","Low",0,NA,NA
"1398",77564,77564,"Hull","Liberty","Low","Low","Med","No","Lunch Plus","Low","None","Low","No","Med","No","None",NA,"Low",0,NA,NA
"1399",77565,77565,"Kemah","Galveston","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","Low","No","Low",0,NA,NA
"1401",77568,77568,"La Marque","Galveston","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"1402",77571,77571,"La Porte","Harris","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,2
"1407",77575,77575,"Liberty","Liberty","Low","Low","Med","No","Lunch Plus","Low","None","High","No","Med","No","High",NA,"Low",0,NA,NA
"1409",77578,77578,"Manvel","Brazoria","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Low","No","Low",NA,"Low",0,NA,NA
"1413",77583,77583,"Rosharon","Brazoria","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Low","No","High","No","Low",144.991891891892,NA,1
"1417",77587,77587,"South Houston","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,2
"1419",77590,77590,"Texas City","Galveston","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,NA
"1420",77591,77591,"Texas City","Galveston","High","High","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,NA
"1422",77598,77598,"Webster","Harris","High","High","Med","No","Lunch Plus","Low","None","Low","No","High","Yes","High","No","Low",0,NA,1
"1425",77613,77613,"China","Jefferson","High","Med","Med","No","No Meals","Low","None","None","No","Low","No","Low",NA,"Low",0,NA,NA
"1428",77616,77616,"Fred","Tyler","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"1432",77623,77623,"High Island","Galveston","High","High","Med","No","No Meals","Low","None","None","Yes","Med","No","Low",NA,"Low",0,NA,NA
"1438",77630,77630,"Orange","Orange","Med","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,1,NA
"1439",77630,77631,"Orange","Orange","Med","Med","Med","No","No Meals","Low","None","None","No","Med","No","None","No","Low",0,NA,NA
"1443",77640,77640,"Port Arthur","Jefferson","High","Med","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,NA
"1445",77642,77642,"Port Arthur","Jefferson","High","High","High","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,92.6009009009009,1,1
"1446",77650,77650,"Port Bolivar","Galveston","High","High","Med","Yes","Lunch Plus","Low","None","Low","No","Low","No","Low",NA,"Low",0,NA,1
"1448",77655,77655,"Sabine Pass","Jefferson","High","Med","Med","No","No Meals","Low","None","None","Yes","Low","No","None","No","Low",0,NA,NA
"1449",77656,77656,"Silsbee","Hardin","High","High","Med","Yes","Lunch Plus","Low","Low","High","No","Med","No","High","No",NA,0,1,6
"1452",77660,77660,"Spurger","Tyler","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"1454",77662,77662,"Vidor","Orange","Med","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","High","No","Low",0,NA,NA
"1458",77665,77665,"Winnie","Chambers","Low",NA,NA,"No","Lunch","Low","None","Low","Yes","Med","No","High",NA,NA,0,NA,NA
"1460",77701,77701,"Beaumont","Jefferson","High","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Low","Yes","High","No","Low",0,NA,1
"1461",77702,77702,"Beaumont","Jefferson","High","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"Low",0,NA,2
"1462",77703,77703,"Beaumont","Jefferson","High","Med","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No",NA,135.502346041056,2,5
"1463",77705,77705,"Beaumont","Jefferson","High","Med","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,4
"1468",77707,77707,"Beaumont","Jefferson","High","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,2
"1471",77708,77708,"Beaumont","Jefferson","High","Med","Med","Yes","Lunch Plus","Low","None","Low","No","High","Yes","High",NA,"Low",0,NA,4
"1473",77801,77801,"Bryan","Brazos","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","High","No","High","No","Low",0,NA,NA
"1475",77802,77802,"Bryan","Brazos","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,NA
"1477",77803,77803,"Bryan","Brazos","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"1478",77807,77807,"Bryan","Brazos","High","High","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,NA
"1480",77808,77808,"Bryan","Brazos","High","High","Med","Yes","Lunch Plus","Low","High","Low","No","Med","Yes","Low",NA,NA,0,NA,NA
"1484",77833,77833,"Brenham","Washington","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,1
"1486",77835,77835,"Burton","Washington","Low",NA,NA,"No","No Meals","Low","None","None",NA,NA,"No","None",NA,NA,0,NA,NA
"1488",77836,77836,"Caldwell","Burleson","Low","Med","High","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,NA
"1491",77837,77837,"Calvert","Robertson","Low","Low","Med","No","Lunch","Low","None","Low","No","Med","No","Low",NA,"Med",0,1,NA
"1499",77853,77853,"Dime Box","Lee","Low",NA,NA,"No","Lunch","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"1503",77857,77857,"Gause","Milam","Low","Low","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"1505",77859,77859,"Hearne","Robertson","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"High",0,NA,NA
"1507",77864,77864,"Madisonville","Madison","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,NA
"1510",77867,77867,"Mumford","Robertson","Med","Med","Med","No","No Meals","High","None","None",NA,NA,"No","None",NA,"High",0,1,NA
"1511",77868,77868,"Navasota","Grimes","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"1514",77872,77872,"North Zulch","Madison","Low","Med","Med","No","Lunch Plus","High","None","Low","No","Med","No","Low",NA,"High",0,1,NA
"1515",77873,77873,"Richards","Grimes","Low",NA,NA,"No","No Meals","Low","None","None","Yes","Low","No","None",NA,NA,0,NA,NA
"1517",77878,77878,"Snook","Burleson","Low","Med","High","No","Lunch Plus","High","High","Low","Yes","Med","No","Low",NA,"Low",0,NA,NA
"1518",77879,77879,"Somerville","Burleson","Low","Med","High","No","Lunch Plus","Low","High","Low","No","Med","No","High","No","High",0,NA,NA
"1520",77901,77901,"Victoria","Victoria","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,NA
"1521",77901,77902,"Victoria","Victoria","High","High","Med","No","No Meals","Low","None","None","No","Med","No","None","No","Low",0,NA,NA
"1522",77904,77904,"Victoria","Victoria","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,NA
"1524",77905,77905,"Victoria","Victoria","High","High","Med","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"1526",77951,77951,"Bloomington","Victoria","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"1527",77954,77954,"Cuero","De Witt","Med","Med","Med","Yes","Lunch Plus","High","None","Low","No","Med","No","High",NA,"High",0,1,NA
"1529",77957,77957,"Edna","Jackson","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0,NA,NA
"1532",77962,77962,"Ganado","Jackson","Low",NA,NA,"No","No Meals","High","None","None","No","Med","Yes","Low",NA,NA,0,1,NA
"1542",77975,77975,"Moulton","Lavaca","Low","Low","High","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Med",0,NA,NA
"1544",77977,77977,"Placedo","Victoria","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","Low",NA,"Low",0,NA,NA
"1546",77979,77979,"Port Lavaca","Calhoun","Med","Low","High","No","Lunch Plus","High","Low","Low","No","Med","No","High","No","High",0,1,NA
"1547",77982,77982,"Port O Connor","Calhoun","Med","Low","High","No","No Meals","Low","None","None","No",NA,"No","Low",NA,"Low",0,NA,NA
"1548",77983,77983,"Seadrift","Calhoun","Med","Low","High","No","No Meals","Low","None","None","No","Med","No","Low","No","Low",0,NA,NA
"1555",77994,77994,"Westhoff","De Witt","Med","Med","Med","No","No Meals","Low","None","None",NA,NA,"No","None",NA,"Low",0,NA,NA
"1556",77995,77995,"Yoakum","Lavaca","Med","Med","Med","Yes","Lunch","Low","None","Low","Yes","Med","No","High",NA,"High",0,NA,NA
"1559",78002,78002,"Atascosa","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","Low",NA,"Low",0,NA,NA
"1561",78003,78003,"Bandera","Bandera","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","High","Yes","High",NA,NA,0,NA,NA
"1568",78009,78009,"Castroville","Medina","Med","Med","Med","No","No Meals","Low","None","None","Yes","Med","Yes","Low",NA,"High",0,1,NA
"1569",78010,78010,"Center Point","Kerr","Low","Low","High","No","Lunch Plus","High","None","Low","No","High","No","Low",NA,"High",0,1,NA
"1570",78011,78011,"Charlotte","Atascosa","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,"High",0,1,NA
"1573",78013,78013,"Comfort","Kendall","Low","Low","Low","Yes","Lunch Plus","High","None","Low","No","High","Yes","Low",NA,"High",0,1,NA
"1574",78014,78014,"Cotulla","La Salle","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,NA,4.56756756756757,NA,1
"1576",78016,78016,"Devine","Medina","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,"Low",0,NA,NA
"1577",78017,78017,"Dilley","Frio","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","Low",NA,"High",0,NA,NA
"1578",78019,78019,"Encinal","La Salle","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"1584",78025,78025,"Ingram","Kerr","Low","Med","Med","No","Lunch Plus","Low","None","Low","No","High","No","Low","No","Low",0,NA,NA
"1585",78026,78026,"Jourdanton","Atascosa","Med","Med","High","No","Lunch Plus","High","None","Low","No","Low","Yes","Low",NA,"High",0,1,NA
"1587",78028,78028,"Kerrville","Kerr","Low","Med","Low","No","Lunch Plus","High","High","Low","No","Med","Yes","High","No","High",0,1,1
"1589",78039,78039,"La Coste","Medina","Med","Med","Med","No","No Meals","Low","None","None","Yes","High","No","Low",NA,"Low",0,NA,NA
"1591",78040,78040,"Laredo","Webb","High","High","Med","Yes","Lunch Plus","Low","None","High","Yes","Med","Yes","High","No",NA,0,NA,NA
"1592",78041,78041,"Laredo","Webb","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,0,NA,NA
"1594",78043,78043,"Laredo","Webb","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"1596",78045,78045,"Laredo","Webb","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"1597",78046,78046,"Laredo","Webb","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"1599",78052,78052,"Lytle","Atascosa","Med","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Low","Yes","High",NA,"Low",0,NA,NA
"1600",78055,78055,"Medina","Bandera","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"1603",78058,78058,"Mountain Home","Kerr","Low","Med","Med","No","No Meals","Low","None","None",NA,NA,"No","None",NA,"Low",0,NA,NA
"1604",78059,78059,"Natalia","Medina","Med","Med","High","Yes","Lunch Plus","High","High","Low","No","Med","No","Low",NA,"High",0,NA,NA
"1606",78061,78061,"Pearsall","Frio","Med","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Low","Yes","High","No","High",10.2272727272727,1,NA
"1607",78063,78063,"Pipe Creek","Bandera","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","High","No","Low","No",NA,0,NA,NA
"1608",78064,78064,"Pleasanton","Atascosa","Med","Med","Med","Yes","Lunch Plus","High","None","Low","No","High","No","High",NA,NA,0,NA,NA
"1609",78065,78065,"Poteet","Atascosa","Med","Med","Med","Yes","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,"High",0,1,NA
"1611",78067,78067,"San Ygnacio","Zapata","Med","High","High","No","Lunch Plus","Low","None","Low","No","High","No","Low",NA,"Low",0,NA,NA
"1612",78069,78069,"Somerset","Bexar","High","High","Med","No","No Meals","Low","None","None","No","Med","Yes","Low","No","Low",0,NA,NA
"1614",78071,78071,"Three Rivers","Live Oak","Low",NA,NA,"No","No Meals","Low","None","None","No","Low","Yes","Low","No",NA,0,NA,NA
"1616",78073,78073,"Von Ormy","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,1
"1618",78076,78076,"Zapata","Zapata","Med","High","High","Yes","Lunch Plus","High","None","High","No","Med","Yes","High","No",NA,0,NA,NA
"1620",78102,78102,"Beeville","Bee","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"1624",78109,78109,"Converse","Bexar","High","High","Med","Yes","Lunch Plus","Low","None","Low","No","Med","No","High","No",NA,0.705882352941177,NA,1
"1627",78114,78114,"Floresville","Wilson","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"1631",78118,78118,"Karnes City","Karnes","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","Low",NA,NA,0,NA,NA
"1632",78119,78119,"Kenedy","Karnes","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,NA,0,NA,NA
"1635",78123,78123,"Mc Queeney","Guadalupe","Med","Low","Med","No","No Meals","Low","None","None","No","Med","No","Low",NA,"Low",0,NA,NA
"1641",78132,78132,"New Braunfels","Comal","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Low","Yes","Low","No",NA,18.1025641025641,NA,1
"1642",78133,78133,"Canyon Lake","Comal","Low",NA,NA,"No","Lunch Plus","Low","None","Low","Yes","High","Yes","High",NA,NA,11.8571428571429,NA,NA
"1643",78140,78140,"Nixon","Gonzales","Low","Med","Med","Yes","Lunch Plus","High","Low","Low","No","Low","Yes","Low",NA,"High",0,NA,NA
"1644",78141,78141,"Nordheim","De Witt","Med","Med","Med","No","No Meals","Low","None","None","No","High","No","None",NA,"Low",0,NA,NA
"1648",78145,78145,"Pawnee","Bee","Low",NA,NA,"No","Lunch Plus","Low","None","Low",NA,NA,"No","None",NA,NA,0,NA,NA
"1649",78146,78146,"Pettus","Bee","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","No","None","No",NA,0,NA,NA
"1651",78148,78148,"Universal City","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High",NA,"Low",0,NA,NA
"1653",78151,78151,"Runge","Karnes","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Low","No","Low",NA,NA,0,NA,NA
"1658",78155,78155,"Seguin","Guadalupe","Med","Low","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","High",0,1,NA
"1660",78160,78160,"Stockdale","Wilson","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","Yes","Low",NA,NA,0,NA,NA
"1664",78164,78164,"Yorktown","De Witt","Med","Med","Med","No","No Meals","Low","None","None","Yes","Med","Yes","Low","No","Low",0,NA,NA
"1665",78201,78201,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Low","Yes","High","Yes","Low",38.2378917378917,NA,12
"1666",78202,78202,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","Yes","Low",67.3883883883883,NA,10
"1667",78203,78203,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","Low","Yes","Low",30.5641025641026,NA,1
"1669",78204,78204,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","Yes","Low",0,NA,4
"1671",78205,78205,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No",NA,"No","High","Yes","Low",19.9604604604605,NA,3
"1681",78207,78207,"San Antonio","Bexar","High","Med","Low","Yes","Lunch Plus","Low","High","High","Yes","Med","No","High","Yes",NA,73.5677685604156,4,31
"1682",78208,78208,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","Yes","Med","No","Low","Yes","Low",22.5,NA,4
"1684",78210,78210,"San Antonio","Bexar","Med","Med","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","Yes","High",37.8148148148148,NA,14
"1685",78211,78211,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",12.2417473884141,NA,9
"1686",78212,78212,"San Antonio","Bexar","Med","Med","Low","Yes","Lunch Plus","High","High","High","No","Low","Yes","High","No",NA,38.8532135076253,NA,6
"1687",78213,78213,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",10.3753561253561,NA,2
"1688",78214,78214,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",54.6467236467237,NA,5
"1691",78216,78216,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,1
"1695",78217,78284,"San Antonio","Bexar","High","High","Med","No","No Meals","Low","None","None","No","Med","No","None","No","Low",0,NA,NA
"1696",78217,78217,"San Antonio","Bexar","High","Med","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No",NA,16.4025435692103,NA,2
"1698",78218,78218,"San Antonio","Bexar","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",12.9411206077873,NA,7
"1699",78219,78219,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",34.9907331573999,NA,5
"1700",78220,78220,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",88.6241204574538,NA,10
"1701",78221,78221,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",21.2542087542088,NA,8
"1702",78222,78222,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",15.4511784511784,NA,1
"1703",78223,78223,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",69.0629629629629,NA,7
"1704",78224,78224,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Low","Yes","High","No","Low",0,NA,6
"1705",78225,78225,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,NA
"1706",78226,78226,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","High","No","Low","No","Low",0,NA,1
"1707",78227,78227,"San Antonio","Bexar","High","High","Low","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,10.8706509539843,7,6
"1709",78228,78228,"San Antonio","Bexar",NA,"Med","Low","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","High",19.6027182914438,1,9
"1710",78229,78229,"San Antonio","Bexar","Med","Med","Med","No","Lunch Plus","Low","None","Low","Yes","Med","Yes","High","No","High",8.5462962962963,1,NA
"1711",78230,78230,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,2
"1717",78233,78233,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,1
"1720",78235,78235,"San Antonio","Bexar","High","High","Med","No","No Meals","Low","None","None","No","High","No","None",NA,"Low",0,NA,1
"1722",78237,78237,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","Yes","Med","No","High","No","Low",23.7434343434344,NA,10
"1724",78238,78238,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",59.3456790123456,NA,4
"1725",78239,78239,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",29.462962962963,NA,3
"1726",78240,78240,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",9.44444444444445,NA,2
"1727",78242,78242,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",37.4871794871795,NA,1
"1729",78244,78244,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",19.1590909090909,NA,1
"1730",78245,78245,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",19.8058823529412,NA,2
"1735",78250,78250,"San Antonio","Bexar","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,NA
"1736",78251,78251,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",19.6120607787275,NA,3
"1737",78252,78252,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","High","Low","No","Med","No","Low",NA,NA,0,NA,NA
"1747",78263,78263,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low",NA,"Med","No","Low",NA,"Low",0,NA,NA
"1748",78264,78264,"San Antonio","Bexar","High","High","Med","No","Lunch Plus","Low","None","Low","No","Low","No","Low","No","Low",35.1666666666666,NA,NA
"1749",78266,78266,"San Antonio","Comal","Low",NA,NA,"No","No Meals","Low","None","None","No","Med","No","Low",NA,NA,0,NA,NA
"1750",78330,78330,"Agua Dulce","Nueces","Med","Med","Low","No","Lunch Plus","High","None","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"1751",78332,78332,"Alice","Jim Wells","Med","Med","High","No","Lunch Plus","Low","None","Low","No","Low","No","High",NA,"Low",0,NA,NA
"1754",78336,78336,"Aransas Pass","San Patricio","Med","Low","High","No","Lunch Plus","High","None","Low","No","Med","No","High",NA,"High",0,NA,NA
"1756",78339,78339,"Banquete","Nueces","Med","Med","Low","No","No Meals","High","Low","None","No","Low","No","Low",NA,"Low",0,NA,NA
"1758",78341,78341,"Benavides","Duval","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","High","No","Low",NA,NA,0,NA,NA
"1759",78342,78342,"Ben Bolt","Jim Wells","Med","Med","High","No","Lunch Plus","Low","None","Low",NA,NA,"No","None",NA,"High",0,NA,NA
"1760",78343,78343,"Bishop","Nueces","Med","Med","Low","No","No Meals","Low","None","None","Yes","Med","No","Low","No","Low",0,NA,NA
"1761",78344,78344,"Bruni","Webb","High","High","Med","No","No Meals","Low","None","None",NA,NA,"No","None",NA,"Low",0,NA,NA
"1763",78351,78351,"Driscoll","Nueces","Med","Med","Low","No","No Meals","Low","Low","None","No","Low","No","Low","No","Low",0,NA,NA
"1766",78355,78355,"Falfurrias","Brooks","Low",NA,NA,"No","Lunch Plus","High","None","Low","No","Med","No","High","No",NA,0,NA,NA
"1767",78357,78357,"Freer","Duval","Low",NA,NA,"No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,NA,0,NA,NA
"1768",78358,78358,"Fulton","Aransas","Low",NA,NA,"No","No Meals","Low","None","None","No","High","No","Low",NA,NA,0,NA,NA
"1769",78359,78359,"Gregory","San Patricio","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","Low","No","Low",0,NA,NA
"1770",78361,78361,"Hebbronville","Jim Hogg","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High",NA,"High",0,NA,NA
"1772",78362,78362,"Ingleside","San Patricio","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No","Low",0,NA,NA
"1774",78363,78363,"Kingsville","Kleberg","Low","Low","Med","No","Lunch Plus","High","High","Low","Yes","Med","No","High","No","High",0,1,NA
"1775",78368,78368,"Mathis","San Patricio","Med","Med","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","High",0,NA,NA
"1777",78370,78370,"Odem","San Patricio","Med","Med","Med","No","Lunch Plus","High","Low","Low","No","Med","No","Low",NA,"Low",0,NA,NA
"1778",78371,78371,"Oilton","Webb","High","High","Med","No","No Meals","Low","None","None","No","Low","No","None",NA,"Low",0,NA,NA
